WBAN,Date,Time,StationType,SkyCondition,SkyConditionFlag,Visibility,VisibilityFlag,WeatherType,WeatherTypeFlag,DryBulbFarenheit,DryBulbFarenheitFlag,DryBulbCelsius,DryBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WetBulbCelsius,WetBulbCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,DewPointCelsius,DewPointCelsiusFlag,RelativeHumidity,RelativeHumidityFlag,WindSpeed,WindSpeedFlag,WindDirection,WindDirectionFlag,ValueForWindCharacter,ValueForWindCharacterFlag,StationPressure,StationPressureFlag,PressureTendency,PressureTendencyFlag,PressureChange,PressureChangeFlag,SeaLevelPressure,SeaLevelPressureFlag,RecordType,RecordTypeFlag,HourlyPrecip,HourlyPrecipFlag,Altimeter,AltimeterFlag
13743,20160302,0552,11,FEW110, ,10.00, , , ,46, ,7.8, ,39, ,3.8, ,29, ,-1.7, , 52, ,23, ,310, ,33, ,29.63, , , , , ,29.70, ,AA, , , ,29.70, 
13743,20160302,0652,11,FEW050 FEW150, ,10.00, , , ,43, ,6.1, ,37, ,2.5, ,27, ,-2.8, , 53, ,21, ,320, ,38, ,29.71, , , , , ,29.77, ,AA, , , ,29.78, 
13743,20160302,0752,11,SCT045 SCT200, ,10.00, , , ,40, ,4.4, ,34, ,1.0, ,24, ,-4.4, , 53, ,24, ,300, ,37, ,29.75, , , , , ,29.82, ,AA, , , ,29.82, 
13743,20160302,0852,11,SCT044 SCT250, ,10.00, , , ,40, ,4.4, ,33, ,0.5, ,21, ,-6.1, , 47, ,21, ,300, ,32, ,29.81, , , , , ,29.88, ,AA, , , ,29.88, 
13743,20160302,0952,11,SCT048 SCT250, ,10.00, , , ,40, ,4.4, ,33, ,0.2, ,19, ,-7.2, , 43, ,21, ,310, ,34, ,29.85, , , , , ,29.91, ,AA, , , ,29.92, 
13743,20160302,1052,11,SCT050 SCT250, ,10.00, , , ,40, ,4.4, ,32, ,-0.0, ,17, ,-8.3, , 39, ,36, ,340, ,44, ,29.87, , , , , ,29.94, ,AA, , , ,29.94, 
13743,20160302,1152,11,SCT055 SCT250, ,10.00, , , ,42, ,5.6, ,33, ,0.6, ,17, ,-8.3, , 36, ,25, ,310, ,33, ,29.89, , , , , ,29.96, ,AA, , , ,29.96, 
13743,20160302,1252,11,SCT055, ,10.00, , , ,41, ,5.0, ,32, ,0.0, ,15, ,-9.4, , 35, ,22, ,300, ,37, ,29.86, , , , , ,29.93, ,AA, , , ,29.93, 
13743,20160302,1352,11,FEW055, ,10.00, , , ,42, ,5.6, ,33, ,0.6, ,17, ,-8.3, , 36, ,21, ,330, ,32, ,29.87, , , , , ,29.94, ,AA, , , ,29.94, 
13743,20160302,1452,11,FEW060, ,10.00, , , ,42, ,5.6, ,33, ,0.5, ,16, ,-8.9, , 35, ,23, ,310, ,37, ,29.90, , , , , ,29.97, ,AA, , , ,29.97, 
13743,20160302,1552,11,FEW060, ,10.00, , , ,41, ,5.0, ,32, ,0.0, ,15, ,-9.4, , 35, ,21, ,320, ,29, ,29.92, , , , , ,29.98, ,AA, , , ,29.99, 
13743,20160302,1652,11,FEW060, ,10.00, , , ,40, ,4.4, ,32, ,-0.1, ,16, ,-8.9, , 38, ,24, ,330, ,32, ,29.96, , , , , ,30.03, ,AA, , , ,30.03, 
13743,20160302,1752,11,FEW060 FEW250, ,10.00, , , ,38, ,3.3, ,30, ,-0.9, ,15, ,-9.4, , 39, ,18, ,300, ,25, ,30.00, , , , , ,30.07, ,AA, , , ,30.07, 
13743,20160302,1852,11,CLR, ,10.00, , , ,36, ,2.2, ,29, ,-1.7, ,14, ,-10.0, , 40, ,14, ,320, , , ,30.04, , , , , ,30.10, ,AA, , , ,30.11, 
13743,20160302,1952,11,CLR, ,10.00, , , ,35, ,1.7, ,28, ,-2.0, ,14, ,-10.0, , 42, ,13, ,320, ,23, ,30.07, , , , , ,30.14, ,AA, , , ,30.14, 
13743,20160302,2052,11,CLR, ,10.00, , , ,34, ,1.1, ,27, ,-2.5, ,13, ,-10.6, , 42, ,16, ,330, ,24, ,30.11, , , , , ,30.18, ,AA, , , ,30.18, 
13743,20160302,2152,11,CLR, ,10.00, , , ,33, ,0.6, ,27, ,-2.9, ,13, ,-10.6, , 44, ,13, ,330, , , ,30.13, , , , , ,30.19, ,AA, , , ,30.20, 
13743,20160302,2252,11,CLR, ,10.00, , , ,32, ,0.0, ,26, ,-3.2, ,13, ,-10.6, , 45, , 8, ,340, , , ,30.15, , , , , ,30.22, ,AA, , , ,30.22, 
13743,20160302,2352,11,CLR, ,10.00, , , ,31, ,-0.6, ,25, ,-3.6, ,13, ,-10.6, , 47, , 7, ,320, , , ,30.14, , , , , ,30.21, ,AA, , , ,30.21, 
13743,20160303,0052,11,CLR, ,10.00, , , ,31, ,-0.6, ,26, ,-3.3, ,15, ,-9.4, , 51, , 8, ,340, , , ,30.13, , , , , ,30.20, ,AA, , , ,30.20, 
13743,20160303,0152,11,CLR, ,10.00, , , ,31, ,-0.6, ,26, ,-3.4, ,14, ,-10.0, , 49, ,10, ,320, , , ,30.15, , , , , ,30.22, ,AA, , , ,30.22, 
13743,20160303,0252,11,CLR, ,10.00, , , ,30, ,-1.1, ,25, ,-3.8, ,14, ,-10.0, , 51, , 8, ,340, , , ,30.16, , , , , ,30.22, ,AA, , , ,30.23, 
13743,20160303,0320,11,SCT250, ,10.00, , , ,31, ,-0.6, ,26, ,-3.4, ,14, ,-10.0, , 49, , 7, ,320, , , ,30.16, , , , , ,M, ,SP, , , ,30.23, 
13743,20160303,0352,11,SCT250, ,10.00, , , ,31, ,-0.6, ,26, ,-3.4, ,14, ,-10.0, , 49, , 8, ,320, , , ,30.16, , , , , ,30.23, ,AA, , , ,30.23, 
13743,20160303,0452,11,BKN250, ,10.00, , , ,30, ,-1.1, ,25, ,-3.8, ,14, ,-10.0, , 51, , 7, ,330, , , ,30.19, , , , , ,30.25, ,AA, , , ,30.26, 
13743,20160303,0552,11,BKN250, ,10.00, , , ,30, ,-1.1, ,25, ,-3.8, ,14, ,-10.0, , 51, , 7, ,350, , , ,30.21, , , , , ,30.28, ,AA, , , ,30.28, 
13743,20160303,0652,11,BKN250, ,10.00, , , ,31, ,-0.6, ,26, ,-3.2, ,16, ,-8.9, , 54, , 9, ,060, , , ,30.22, , , , , ,30.29, ,AA, , , ,30.29, 
13743,20160303,0752,11,BKN250, ,10.00, , , ,32, ,0.0, ,27, ,-2.8, ,16, ,-8.9, , 52, , 7, ,070, , , ,30.24, , , , , ,30.31, ,AA, , , ,30.31, 
13743,20160303,0852,11,BKN250, ,10.00, , , ,35, ,1.7, ,29, ,-1.7, ,16, ,-8.9, , 46, , 0, ,000, , , ,30.27, , , , , ,30.33, ,AA, , , ,30.34, 
13743,20160303,0952,11,FEW160 OVC250, ,10.00, , , ,34, ,1.1, ,28, ,-2.0, ,17, ,-8.3, , 50, , 5, ,160, , , ,30.27, , , , , ,30.34, ,AA, , , ,30.34, 
13743,20160303,1052,11,FEW050 OVC250, ,10.00, , , ,36, ,2.2, ,30, ,-1.3, ,17, ,-8.3, , 46, , 6, ,110, , , ,30.24, , , , , ,30.30, ,AA, , , ,30.31, 
13743,20160303,1152,11,FEW050 FEW190 OVC250, ,10.00, , , ,38, ,3.3, ,31, ,-0.6, ,17, ,-8.3, , 43, , 3, ,VR , , , ,30.22, , , , , ,30.28, ,AA, , , ,30.29, 
13743,20160303,1252,11,FEW100 FEW160 OVC250, ,10.00, , , ,38, ,3.3, ,30, ,-0.9, ,15, ,-9.4, , 39, , 5, ,100, , , ,30.18, , , , , ,30.25, ,AA, , , ,30.25, 
13743,20160303,1352,11,FEW085 SCT150 OVC200, ,10.00, , , ,40, ,4.4, ,32, ,-0.2, ,15, ,-9.4, , 36, , 0, ,000, , , ,30.15, , , , , ,30.22, ,AA, , , ,30.22, 
13743,20160303,1452,11,SCT080 SCT150 OVC200, ,10.00, , , ,41, ,5.0, ,32, ,0.2, ,16, ,-8.9, , 36, , 5, ,220, , , ,30.14, , , , , ,30.21, ,AA, , , ,30.21, 
13743,20160303,1552,11,OVC070, ,10.00, , , ,41, ,5.0, ,32, ,0.2, ,16, ,-8.9, , 36, , 8, ,200, , , ,30.14, , , , , ,30.21, ,AA, , , ,30.21, 
13743,20160303,1652,11,OVC060, ,10.00, , , ,40, ,4.4, ,33, ,0.3, ,19, ,-7.2, , 43, , 5, ,210, , , ,30.12, , , , , ,30.19, ,AA, , , ,30.19, 
13743,20160303,1719,11,SCT060 OVC140, ,10.00, , , ,39, ,3.9, ,33, ,0.2, ,21, ,-6.1, , 48, ,10, ,140, , , ,30.13, , , , , ,M, ,SP, , , ,30.20, 
13743,20160303,1733,11,BKN060 BKN085 OVC110, ,10.00, , , ,39, ,3.9, ,33, ,0.4, ,22, ,-5.6, , 51, ,10, ,120, , , ,30.14, , , , , ,M, ,SP, , , ,30.21, 
13743,20160303,1752,11,BKN065 OVC090, ,10.00, , , ,39, ,3.9, ,33, ,0.2, ,21, ,-6.1, , 48, ,13, ,120, , , ,30.15, , , , , ,30.21, ,AA, , , ,30.22, 
13743,20160303,1852,11,OVC050, ,10.00, ,-SN, ,39, ,3.9, ,33, ,0.2, ,21, ,-6.1, , 48, ,10, ,190, ,21, ,30.14, , , , , ,30.21, ,AA, ,  T, ,30.21, 
13743,20160303,1952,11,FEW031 BKN055 OVC075, , 9.00, ,-SN, ,36, ,2.2, ,33, ,0.3, ,27, ,-2.8, , 70, ,15, ,170, , , ,30.13, , , , , ,30.20, ,AA, ,  T, ,30.20, 
13743,20160303,2044,11,OVC039, , 3.00, ,-SN, ,35, ,1.7, ,33, ,0.3, ,29, ,-1.7, , 79, , 9, ,150, , , ,30.13, , , , , ,M, ,SP, , , ,30.20, 
13743,20160303,2048,11,FEW021 OVC035, , 2.50, ,-SN, ,36, ,2.0, ,33, ,0.5, ,28, ,-2.0, , 73, ,10, ,150, , , ,30.13, , , , , ,M, ,SP, , , ,30.20, 
13743,20160303,2052,11,FEW017 OVC033, , 2.50, ,-SN, ,34, ,1.1, ,32, ,0.0, ,29, ,-1.7, , 82, ,10, ,140, , , ,30.12, , , , , ,30.19, ,AA, ,  T, ,30.19, 
13743,20160303,2059,11,FEW017 BKN029 OVC038, , 3.00, ,-SN, ,34, ,1.1, ,32, ,0.0, ,29, ,-1.7, , 82, , 8, ,150, , , ,30.13, , , , , ,M, ,SP, , , ,30.20, 
13743,20160303,2111,11,SCT027 BKN055 OVC100, , 5.00, ,-SN, ,34, ,1.1, ,32, ,0.0, ,29, ,-1.7, , 82, , 7, ,140, , , ,30.11, , , , , ,M, ,SP, , , ,30.18, 
13743,20160303,2152,11,SCT013 SCT065 OVC080, , 9.00, ,-SN, ,34, ,1.1, ,32, ,0.0, ,29, ,-1.7, , 82, , 7, ,130, , , ,30.11, , , , , ,30.18, ,AA, ,  T, ,30.18, 
13743,20160303,2249,11,OVC032, , 2.00, ,-SN BR, ,34, ,1.0, ,32, ,-0.1, ,28, ,-2.0, , 79, , 6, ,140, , , ,30.11, , , , , ,M, ,SP, , , ,30.18, 
13743,20160303,2252,11,OVC030, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 5, ,150, , , ,30.11, , , , , ,30.18, ,AA, ,  T, ,30.18, 
13743,20160303,2259,11,FEW010 OVC028, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 6, ,140, , , ,30.11, , , , , ,M, ,SP, , , ,30.18, 
13743,20160303,2312,11,FEW007 BKN012 OVC026, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 5, ,110, , , ,30.10, , , , , ,M, ,SP, , , ,30.17, 
13743,20160303,2340,11,FEW007 SCT012 OVC022, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 5, ,150, , , ,30.09, , , , , ,M, ,SP, , , ,30.16, 
13743,20160303,2352,11,FEW007 FEW012 OVC020, , 2.00, ,-SN BR, ,32, ,0.0, ,31, ,-0.4, ,30, ,-1.1, , 92, , 5, ,150, , , ,30.09, , , , , ,30.15, ,AA, ,0.02, ,30.16, 
13743,20160304,0010,11,SCT006 BKN010 OVC019, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 6, ,130, , , ,30.08, , , , , ,M, ,SP, , , ,30.15, 
13743,20160304,0028,11,SCT006 SCT010 OVC016, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 3, ,130, , , ,30.08, , , , , ,M, ,SP, , , ,30.15, 
13743,20160304,0039,11,FEW006 OVC016, , 4.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 3, ,140, , , ,30.08, , , , , ,M, ,SP, , , ,30.15, 
13743,20160304,0052,11,FEW007 OVC016, , 5.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 0, ,000, , , ,30.08, , , , , ,30.15, ,AA, ,0.01, ,30.15, 
13743,20160304,0130,11,FEW007 BKN020 OVC065, , 4.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 5, ,090, , , ,30.06, , , , , ,M, ,SP, , , ,30.13, 
13743,20160304,0145,11,SCT006 BKN022 OVC065, , 3.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 3, ,060, , , ,30.04, , , , , ,M, ,SP, , , ,30.11, 
13743,20160304,0152,11,SCT006 BKN045 OVC065, , 3.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 3, ,060, , , ,30.04, , , , , ,30.10, ,AA, ,  T, ,30.11, 
13743,20160304,0211,11,SCT006 OVC033, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 6, ,070, , , ,30.03, , , , , ,M, ,SP, , , ,30.10, 
13743,20160304,0227,11,SCT006 OVC029, , 2.50, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 8, ,050, , , ,30.01, , , , , ,M, ,SP, , , ,30.08, 
13743,20160304,0231,11,SCT005 OVC036, , 3.00, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 8, ,060, , , ,30.01, , , , , ,M, ,SP, , , ,30.08, 
13743,20160304,0250,11,SCT005 OVC034, , 2.50, ,-SN BR, ,34, ,1.0, ,32, ,0.2, ,30, ,-1.0, , 85, , 7, ,060, , , ,30.00, , , , , ,M, ,SP, , , ,30.07, 
13743,20160304,0252,11,SCT005 OVC034, , 2.50, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 8, ,060, , , ,30.00, , , , , ,30.06, ,AA, ,0.01, ,30.07, 
13743,20160304,0258,11,BKN005 OVC034, , 2.50, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 7, ,050, , , ,29.99, , , , , ,M, ,SP, , , ,30.06, 
13743,20160304,0348,11,SCT007 OVC019, , 2.00, ,-SN BR, ,34, ,1.0, ,32, ,0.2, ,30, ,-1.0, , 85, , 8, ,060, , , ,29.97, , , , , ,M, ,SP, , , ,30.04, 
13743,20160304,0352,11,SCT006 OVC019, , 1.75, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 8, ,050, , , ,29.98, , , , , ,30.04, ,AA, ,0.02, ,30.05, 
13743,20160304,0409,11,FEW005 BKN011 OVC019, , 2.00, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 8, ,060, , , ,29.98, , , , , ,M, ,SP, , , ,30.05, 
13743,20160304,0452,11,SCT007 OVC012, , 2.50, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 8, ,050, , , ,29.99, , , , , ,30.05, ,AA, ,0.01, ,30.06, 
13743,20160304,0500,11,BKN006 OVC011, , 2.50, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 9, ,040, , , ,29.98, , , , , ,M, ,SP, , , ,30.05, 
13743,20160304,0507,11,OVC008, , 4.00, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 9, ,050, , , ,29.98, , , , , ,M, ,SP, , , ,30.05, 
13743,20160304,0509,11,BKN006 OVC010, , 4.00, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 9, ,040, , , ,29.98, , , , , ,M, ,SP, , , ,30.05, 
13743,20160304,0512,11,SCT006 OVC010, , 4.00, ,-SN BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, ,10, ,050, , , ,29.98, , , , , ,M, ,SP, , , ,30.05, 
13743,20160304,0548,11,BKN008 BKN013 OVC022, , 6.00, ,-SN BR, ,34, ,1.0, ,32, ,0.2, ,30, ,-1.0, , 85, , 9, ,050, , , ,29.99, , , , , ,M, ,SP, , , ,30.06, 
13743,20160304,0552,11,BKN008 BKN013 OVC022, , 6.00, ,-SN BR, ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, , 9, ,060, , , ,29.99, , , , , ,30.06, ,AA, ,  T, ,30.06, 
13743,20160304,0613,11,OVC009, , 8.00, , , ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, ,10, ,040, , , ,29.99, , , , , ,M, ,SP, , , ,30.06, 
13743,20160304,0622,11,BKN009 OVC012, , 6.00, ,BR, ,33, ,0.6, ,32, ,0.1, ,31, ,-0.6, , 92, , 9, ,030, , , ,29.99, , , , , ,M, ,SP, , , ,30.06, 
13743,20160304,0650,11,SCT009 SCT012 OVC019, , 8.00, , , ,34, ,1.0, ,32, ,0.2, ,30, ,-1.0, , 85, , 9, ,040, , , ,30.00, , , , , ,M, ,SP, , , ,30.07, 
13743,20160304,0652,11,BKN009 OVC019, , 8.00, , , ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, ,10, ,040, , , ,30.00, , , , , ,30.06, ,AA, ,  T, ,30.07, 
13743,20160304,0737,11,BKN010 OVC017, , 8.00, , , ,33, ,0.6, ,32, ,-0.0, ,30, ,-1.1, , 89, ,13, ,020, , , ,30.01, , , , , ,M, ,SP, , , ,30.08, 
13743,20160304,0752,11,BKN010 OVC019, , 9.00, , , ,34, ,1.1, ,32, ,0.2, ,30, ,-1.1, , 85, ,13, ,050, , , ,30.01, , , , , ,30.07, ,AA, , , ,30.08, 
13743,20160304,0852,11,BKN010 OVC017, , 8.00, , , ,34, ,1.1, ,32, ,0.2, ,30, ,-1.1, , 85, ,15, ,030, , , ,30.02, , , , , ,30.08, ,AA, , , ,30.09, 
13743,20160304,0922,11,OVC009, , 6.00, ,BR, ,34, ,1.1, ,33, ,0.4, ,31, ,-0.6, , 89, ,15, ,020, , , ,30.01, , , , , ,M, ,SP, , , ,30.08, 
13743,20160304,0948,11,SCT009 BKN015 OVC024, , 9.00, , , ,36, ,2.0, ,34, ,0.9, ,30, ,-1.0, , 79, ,16, ,030, , , ,30.01, , , , , ,M, ,SP, , , ,30.08, 
13743,20160304,0950,11,BKN012 BKN017 OVC024, , 9.00, , , ,36, ,2.0, ,34, ,0.9, ,30, ,-1.0, , 79, ,16, ,040, , , ,30.00, , , , , ,M, ,SP, , , ,30.07, 
13743,20160304,0952,11,SCT012 BKN017 OVC024, ,10.00, , , ,36, ,2.2, ,34, ,1.1, ,31, ,-0.6, , 82, ,16, ,030, , , ,30.00, , , , , ,30.07, ,AA, , , ,30.07, 
13743,20160304,1052,11,BKN019 BKN026 OVC250, ,10.00, , , ,37, ,2.8, ,34, ,1.0, ,29, ,-1.7, , 73, ,16, ,020, , , ,30.00, , , , , ,30.06, ,AA, , , ,30.07, 
13743,20160304,1152,11,OVC026, ,10.00, , , ,38, ,3.3, ,34, ,1.3, ,29, ,-1.7, , 70, ,14, ,020, , , ,29.99, , , , , ,30.06, ,AA, , , ,30.06, 
13743,20160304,1252,11,OVC028, ,10.00, , , ,40, ,4.4, ,36, ,2.0, ,29, ,-1.7, , 65, ,16, ,350, , , ,29.97, , , , , ,30.04, ,AA, , , ,30.04, 
13743,20160304,1325,11,OVC030, ,10.00, , , ,41, ,5.0, ,36, ,2.3, ,29, ,-1.7, , 62, ,14, ,350, , , ,29.96, , , , , ,M, ,SP, , , ,30.03, 
13743,20160304,1352,11,OVC030, ,10.00, , , ,40, ,4.4, ,36, ,2.0, ,29, ,-1.7, , 65, ,15, ,340, , , ,29.96, , , , , ,30.03, ,AA, , , ,30.03, 
